Checking_Amt,Duration,Credit_History,Purpose,Credit_Amt,Savings_Amt,Employement,Installment_Rate,Personal_status, debtors/guarantors,Residence,Property,Age,Install_plans,Housing,No.of_credits,Job_type,No.of_people,Telephone,Foreigner,Credit_Risk
NA,36,existing credits paid back duly,furniture/equipment,3349,little,Professional,4,female,none,2,car or other,28,none,Own,1,qualified employee,1,Yes,Yes,2
Rich,10,existing credits paid back duly,furniture/equipment,1275,little,amateur,4,female,none,2,building society savings agreement/ life insurance,23,none,Own,1,skilled employee,1,None,Yes,1
little,24,all credits paid back duly,furniture/equipment,2828,Quite Rich,Professional,4,male,none,4,real estate,22,stores,Own,1,skilled employee,1,Yes,Yes,1
NA,24,critical account,business,4526,little,Professional,3,male,none,2,real estate,74,none,Own,1,qualified employee,1,Yes,Yes,1
Moderate,36,existing credits paid back duly,radio/television,2671,Moderate,Professional,4,female, co-applicant,4, unknown / no property,50,none,For Free,1,skilled employee,1,None,Yes,2
NA,18,existing credits paid back duly,radio/television,2051,little,amateur,4,male,none,1,real estate,33,none,Own,1,skilled employee,1,None,Yes,1
NA,15,existing credits paid back duly,car (used),1300,NA,Master,4,male,none,4, unknown / no property,45,bank,For Free,1,skilled employee,2,None,Yes,1
little,12,existing credits paid back duly,domestic appliances,741,Moderate,Unemployed,4,female,none,3,building society savings agreement/ life insurance,22,none,Own,1,skilled employee,1,None,Yes,2
Rich,10,existing credits paid back duly,car (new),1240,Moderate,Master,1,female,none,4, unknown / no property,48,none,For Free,1,unskilled,2,None,Yes,2
little,21,existing credits paid back duly,radio/television,3357,Rich,amateur,4,female,none,2,car or other,29,bank,Own,1,skilled employee,1,None,Yes,1
little,24,all credits paid back duly,car (used),3632,little,Professional,1,female,guarantor,4,car or other,22,bank,Rent,1,skilled employee,1,None,No,1
NA,18,delay in paying off in the past,furniture/equipment,1808,little,Expert,4,female,none,1,real estate,22,none,Own,1,skilled employee,1,None,Yes,2
Moderate,48,no credits taken,business,12204,NA,Professional,2,male,none,2,car or other,48,bank,Own,1,qualified employee,1,Yes,Yes,1
Moderate,60,delay in paying off in the past,radio/television,9157,NA,Professional,2,male,none,2, unknown / no property,27,none,For Free,1,qualified employee,1,None,Yes,1
little,6,critical account,car (new),3676,little,Professional,1,male,none,3,real estate,37,none,Rent,3,skilled employee,2,None,Yes,1
Moderate,30,existing credits paid back duly,furniture/equipment,3441,Moderate,Professional,2,female, co-applicant,4,car or other,21,none,Rent,1,skilled employee,1,None,Yes,2
NA,12,existing credits paid back duly,car (new),640,little,Professional,4,male,none,2,real estate,49,none,Own,1,unskilled,1,None,Yes,1
Moderate,21,critical account,business,3652,little,Expert,2,male,none,3,building society savings agreement/ life insurance,27,none,Own,2,skilled employee,1,None,Yes,1
NA,18,critical account,car (new),1530,little,Professional,3,male,none,2,building society savings agreement/ life insurance,32,bank,Own,2,skilled employee,1,None,Yes,2
NA,48,existing credits paid back duly,business,3914,NA,Professional,4,male,none,2,real estate,38,bank,Own,1,skilled employee,1,None,Yes,2
little,12,existing credits paid back duly,furniture/equipment,1858,little,amateur,4,female,none,1,car or other,22,none,Rent,1,skilled employee,1,None,Yes,1
little,18,existing credits paid back duly,radio/television,2600,little,Professional,4,male,none,4, unknown / no property,65,none,For Free,2,skilled employee,1,None,Yes,2
NA,15,existing credits paid back duly,radio/television,1979,NA,Master,4,male,none,2,car or other,35,none,Own,1,skilled employee,1,None,Yes,1
Rich,6,existing credits paid back duly,furniture/equipment,2116,little,Professional,2,male,none,2,real estate,41,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,9,all credits paid back duly,car (new),1437,Moderate,Expert,2,male,none,3, unknown / no property,29,none,Own,1,skilled employee,1,None,Yes,2
NA,42,critical account,furniture/equipment,4042,Quite Rich,Professional,4,male,none,4,real estate,36,none,Own,2,skilled employee,1,Yes,Yes,1
NA,9,existing credits paid back duly,education,3832,NA,Master,1,male,none,4,real estate,64,none,Own,1,unskilled,1,None,Yes,1
little,24,existing credits paid back duly,radio/television,3660,little,Professional,2,female,none,4,car or other,28,none,Own,1,skilled employee,1,None,Yes,1
little,18,all credits paid back duly,furniture/equipment,1553,little,Professional,4,male,none,3,car or other,44,bank,Own,1,skilled employee,1,None,Yes,2
Moderate,15,existing credits paid back duly,radio/television,1444,NA,amateur,4,male,none,1,building society savings agreement/ life insurance,23,none,Own,1,skilled employee,1,None,Yes,1
NA,9,existing credits paid back duly,furniture/equipment,1980,little,amateur,2,female, co-applicant,2,car or other,19,none,Rent,2,skilled employee,1,None,Yes,2
Moderate,24,existing credits paid back duly,car (new),1355,little,amateur,3,female,none,4,car or other,25,none,Own,1,unskilled,1,Yes,Yes,2
NA,12,existing credits paid back duly,education,1393,little,Master,4,male,none,4,building society savings agreement/ life insurance,47,bank,Own,3,skilled employee,2,Yes,Yes,1
NA,24,existing credits paid back duly,radio/television,1376,Quite Rich,Expert,4,female,none,1,car or other,28,none,Own,1,skilled employee,1,None,Yes,1
NA,60,delay in paying off in the past,radio/television,15653,little,Expert,2,male,none,4,car or other,21,none,Own,2,skilled employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,radio/television,1493,little,amateur,4,female,none,3,car or other,34,none,Own,1,skilled employee,2,None,Yes,1
little,42,delay in paying off in the past,radio/television,4370,little,Expert,3,male,none,2,building society savings agreement/ life insurance,26,bank,Own,2,skilled employee,2,Yes,Yes,2
little,18,existing credits paid back duly,education,750,little,Unemployed,4,female,none,1,real estate,27,none,Own,1,unemployed,1,None,Yes,2
Moderate,15,existing credits paid back duly,repairs,1308,little,Master,4,male,none,4,car or other,38,none,Own,2,unskilled,1,None,Yes,1
NA,15,existing credits paid back duly,education,4623,Moderate,Professional,3,male,none,2,building society savings agreement/ life insurance,40,none,Own,1,qualified employee,1,Yes,Yes,2
NA,24,critical account,radio/television,1851,little,Expert,4,male,guarantor,2,car or other,33,none,Own,2,skilled employee,1,Yes,Yes,1
little,18,critical account,radio/television,1880,little,Expert,4,male,none,1,building society savings agreement/ life insurance,32,none,Own,2,qualified employee,1,Yes,Yes,1
NA,36,delay in paying off in the past,business,7980,NA,amateur,4,male,none,4,car or other,27,none,Rent,2,skilled employee,1,Yes,Yes,2
little,30,no credits taken,furniture/equipment,4583,little,Professional,2,male,guarantor,2,real estate,32,none,Own,2,skilled employee,1,None,Yes,1
NA,12,existing credits paid back duly,car (new),1386,Quite Rich,Professional,2,female,none,2,building society savings agreement/ life insurance,26,none,Own,1,skilled employee,1,None,Yes,2
Rich,24,existing credits paid back duly,car (new),947,little,Expert,4,male,none,3, unknown / no property,38,bank,For Free,1,skilled employee,2,None,Yes,2
little,12,existing credits paid back duly,education,684,little,Professional,4,male,none,4,car or other,40,none,Rent,1,unskilled,2,None,Yes,2
little,48,existing credits paid back duly,education,7476,little,Expert,4,male,none,1, unknown / no property,50,none,For Free,1,qualified employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,furniture/equipment,1922,little,Professional,4,male,none,2,building society savings agreement/ life insurance,37,none,Own,1,unskilled,1,None,Yes,2
little,24,existing credits paid back duly,car (new),2303,little,Master,4,male, co-applicant,1,real estate,45,none,Own,1,skilled employee,1,None,Yes,2
Moderate,36,delay in paying off in the past,car (new),8086,Moderate,Master,2,male,none,4,car or other,42,none,Own,4,qualified employee,1,Yes,Yes,2
NA,24,critical account,car (used),2346,little,Expert,4,male,none,3,car or other,35,none,Own,2,skilled employee,1,Yes,Yes,1
little,14,existing credits paid back duly,car (new),3973,little,Unemployed,1,male,none,4, unknown / no property,22,none,For Free,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,car (new),888,little,Master,4,male,none,4,car or other,41,bank,Own,1,unskilled,2,None,Yes,2
NA,48,existing credits paid back duly,radio/television,10222,NA,Expert,4,male,none,3,car or other,37,stores,Own,1,skilled employee,1,Yes,Yes,1
Moderate,30,no credits taken,business,4221,little,Professional,2,female,none,1,car or other,28,none,Own,2,skilled employee,1,None,Yes,1
Moderate,18,critical account,furniture/equipment,6361,little,Master,2,male,none,1, unknown / no property,41,none,Own,1,skilled employee,1,Yes,Yes,1
Rich,12,existing credits paid back duly,radio/television,1297,little,Professional,3,male,none,4,real estate,23,none,Rent,1,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,car (new),900,NA,Professional,4,male,none,2,car or other,23,none,Own,1,skilled employee,1,None,Yes,2
NA,21,existing credits paid back duly,furniture/equipment,2241,little,Master,4,male,none,2,real estate,50,none,Own,2,skilled employee,1,None,Yes,1
Moderate,6,delay in paying off in the past,furniture/equipment,1050,little,Unemployed,4,male,none,1,building society savings agreement/ life insurance,35,stores,Own,2,qualified employee,1,Yes,Yes,1
Rich,6,critical account,education,1047,little,Professional,2,female,none,4,building society savings agreement/ life insurance,50,none,Own,1,unskilled,1,None,Yes,1
NA,24,critical account,Others,6314,little,Unemployed,4,male, co-applicant,2, unknown / no property,27,bank,Own,2,qualified employee,1,Yes,Yes,1
Moderate,30,all credits paid back duly,furniture/equipment,3496,Rich,Professional,4,male,none,2,car or other,34,stores,Own,1,skilled employee,2,Yes,Yes,1
NA,48,all credits paid back duly,business,3609,little,Professional,1,female,none,1,real estate,27,stores,Own,1,skilled employee,1,None,Yes,1
little,12,critical account,car (new),4843,little,Master,3,male, co-applicant,4,building society savings agreement/ life insurance,43,none,Rent,2,skilled employee,1,Yes,Yes,2
Rich,30,critical account,radio/television,3017,little,Master,4,male,none,4,building society savings agreement/ life insurance,47,none,Own,1,skilled employee,1,None,Yes,1
NA,24,critical account,business,4139,Moderate,Professional,3,male,none,3,building society savings agreement/ life insurance,27,none,Own,2,unskilled,1,Yes,Yes,1
NA,36,existing credits paid back duly,business,5742,Moderate,Expert,2,male,none,2,car or other,31,none,Own,2,skilled employee,1,Yes,Yes,1
NA,60,existing credits paid back duly,car (new),10366,little,Master,2,male,none,4,building society savings agreement/ life insurance,42,none,Own,1,qualified employee,1,Yes,Yes,1
NA,6,critical account,car (new),2080,Quite Rich,Professional,1,male,none,2,car or other,24,none,Own,1,skilled employee,1,None,Yes,1
NA,21,delay in paying off in the past,business,2580,Quite Rich,amateur,4,male,none,2,real estate,41,bank,Own,1,unskilled,2,None,Yes,2
NA,30,critical account,radio/television,4530,little,Expert,4,female,none,4,car or other,26,none,Rent,1,qualified employee,1,Yes,Yes,1
NA,24,critical account,furniture/equipment,5150,little,Master,4,male,none,4,car or other,33,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,72,existing credits paid back duly,radio/television,5595,Moderate,Professional,2,male,none,2,car or other,24,none,Own,1,skilled employee,1,None,Yes,2
little,24,existing credits paid back duly,radio/television,2384,little,Master,4,male,none,4,real estate,64,bank,Rent,1,unskilled,1,None,Yes,1
NA,18,existing credits paid back duly,radio/television,1453,little,amateur,3,female,none,1,real estate,26,none,Own,1,skilled employee,1,None,Yes,1
NA,6,existing credits paid back duly,education,1538,little,amateur,1,female,none,2, unknown / no property,56,none,Own,1,skilled employee,1,None,Yes,1
NA,12,existing credits paid back duly,radio/television,2279,NA,Professional,4,male,none,4, unknown / no property,37,none,For Free,1,skilled employee,1,Yes,Yes,1
NA,15,delay in paying off in the past,radio/television,1478,little,Professional,4,male,none,3,real estate,33,bank,Own,2,skilled employee,1,None,Yes,1
NA,24,critical account,radio/television,5103,little,amateur,3,male,none,3, unknown / no property,47,none,For Free,3,skilled employee,1,Yes,Yes,1
Moderate,36,delay in paying off in the past,business,9857,Moderate,Expert,1,male,none,3,building society savings agreement/ life insurance,31,none,Own,2,unskilled,2,Yes,Yes,1
NA,60,existing credits paid back duly,car (new),6527,NA,Professional,4,male,none,4, unknown / no property,34,none,For Free,1,skilled employee,2,Yes,Yes,1
Rich,10,critical account,radio/television,1347,NA,Expert,4,male,none,2,building society savings agreement/ life insurance,27,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,36,delay in paying off in the past,car (new),2862,Moderate,Master,4,male,none,3, unknown / no property,30,none,For Free,1,skilled employee,1,None,Yes,1
NA,9,existing credits paid back duly,radio/television,2753,Moderate,Master,3,male, co-applicant,4,car or other,35,none,Own,1,skilled employee,1,Yes,Yes,1
little,12,existing credits paid back duly,car (new),3651,Rich,Professional,1,male,none,3,building society savings agreement/ life insurance,31,none,Own,1,skilled employee,2,None,Yes,1
little,15,critical account,furniture/equipment,975,little,Professional,2,male,none,3,building society savings agreement/ life insurance,25,none,Own,2,skilled employee,1,None,Yes,1
Moderate,15,existing credits paid back duly,repairs,2631,Moderate,Professional,3,female,none,2,real estate,25,none,Own,1,unskilled,1,None,Yes,1
Moderate,24,existing credits paid back duly,radio/television,2896,Moderate,amateur,2,male,none,1,car or other,29,none,Own,1,skilled employee,1,None,Yes,1
little,6,critical account,car (new),4716,NA,amateur,1,male,none,3,real estate,44,none,Own,2,unskilled,2,None,Yes,1
NA,24,existing credits paid back duly,radio/television,2284,little,Expert,4,male,none,2,car or other,28,none,Own,1,skilled employee,1,Yes,Yes,1
NA,6,existing credits paid back duly,car (used),1236,Quite Rich,Professional,2,male,none,4,building society savings agreement/ life insurance,50,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,radio/television,1103,little,Expert,4,male,guarantor,3,real estate,29,none,Own,2,skilled employee,1,None,No,1
NA,12,critical account,car (new),926,little,Unemployed,1,female,none,2,building society savings agreement/ life insurance,38,none,Own,1,unemployed,1,None,Yes,1
NA,18,critical account,radio/television,1800,little,Professional,4,male,none,2,car or other,24,none,Own,2,skilled employee,1,None,Yes,1
Rich,15,existing credits paid back duly,education,1905,little,Master,4,male,none,4,car or other,40,none,Rent,1,qualified employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,furniture/equipment,1123,Quite Rich,Professional,4,female,none,4,car or other,29,none,Rent,1,unskilled,1,None,Yes,2
little,48,critical account,car (used),6331,little,Master,4,male,none,4, unknown / no property,46,none,For Free,2,skilled employee,1,Yes,Yes,2
Rich,24,existing credits paid back duly,radio/television,1377,Moderate,Master,4,female,none,2, unknown / no property,47,none,For Free,1,skilled employee,1,Yes,Yes,1
Moderate,30,delay in paying off in the past,business,2503,Moderate,Master,4,male,none,2,building society savings agreement/ life insurance,41,stores,Own,2,skilled employee,1,None,Yes,1
Moderate,27,existing credits paid back duly,business,2528,little,amateur,4,female,none,1,building society savings agreement/ life insurance,32,none,Own,1,skilled employee,2,Yes,Yes,1
NA,15,existing credits paid back duly,car (new),5324,Quite Rich,Master,1,female,none,4, unknown / no property,35,none,For Free,1,skilled employee,1,None,Yes,1
Moderate,48,existing credits paid back duly,car (new),6560,Moderate,Expert,3,male,none,2,building society savings agreement/ life insurance,24,none,Own,1,skilled employee,1,None,Yes,2
Moderate,12,no credits taken,furniture/equipment,2969,little,amateur,4,female,none,3,building society savings agreement/ life insurance,25,none,Rent,2,skilled employee,1,None,Yes,2
Moderate,9,existing credits paid back duly,radio/television,1206,little,Master,4,female,none,4,real estate,25,none,Own,1,skilled employee,1,None,Yes,1
Moderate,9,existing credits paid back duly,radio/television,2118,little,Professional,2,male,none,2,real estate,37,none,Own,1,unskilled,2,None,Yes,1
NA,18,critical account,radio/television,629,Quite Rich,Master,4,male,none,3,building society savings agreement/ life insurance,32,bank,Own,2,qualified employee,1,Yes,Yes,1
little,6,all credits paid back duly,education,1198,little,Master,4,female,none,4, unknown / no property,35,none,For Free,1,skilled employee,1,None,Yes,2
NA,21,existing credits paid back duly,car (used),2476,NA,Master,4,male,none,4,real estate,46,none,Own,1,qualified employee,1,Yes,Yes,1
little,9,critical account,radio/television,1138,little,Professional,4,male,none,4,real estate,25,none,Own,2,unskilled,1,None,Yes,1
Moderate,60,existing credits paid back duly,car (new),14027,little,Expert,4,male,none,2, unknown / no property,27,none,Own,1,qualified employee,1,Yes,Yes,2
NA,30,critical account,car (used),7596,NA,Master,1,male,none,4,car or other,63,none,Own,2,skilled employee,1,None,Yes,1
NA,30,critical account,radio/television,3077,NA,Master,3,male,none,2,car or other,40,none,Own,2,skilled employee,2,Yes,Yes,1
NA,18,existing credits paid back duly,radio/television,1505,little,Professional,4,male,none,2, unknown / no property,32,none,For Free,1,qualified employee,1,Yes,Yes,1
Rich,24,critical account,radio/television,3148,NA,Professional,3,male,none,2,car or other,31,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,20,no credits taken,car (used),6148,Moderate,Master,3,male,none,4,car or other,31,bank,Own,2,skilled employee,1,Yes,Yes,1
Rich,9,no credits taken,radio/television,1337,little,amateur,4,male,none,2,car or other,34,none,Own,2,qualified employee,1,Yes,Yes,2
Moderate,6,all credits paid back duly,education,433,Rich,amateur,4,female,none,2,building society savings agreement/ life insurance,24,bank,Rent,1,skilled employee,2,None,Yes,2
little,12,existing credits paid back duly,car (new),1228,little,Professional,4,female,none,2,real estate,24,none,Own,1,unskilled,1,None,Yes,2
Moderate,9,existing credits paid back duly,radio/television,790,Quite Rich,Professional,4,female,none,3,real estate,66,none,Own,1,unskilled,1,None,Yes,1
NA,27,existing credits paid back duly,car (new),2570,little,Professional,3,female,none,3,real estate,21,none,Rent,1,skilled employee,1,None,Yes,2
NA,6,critical account,car (new),250,Rich,Professional,2,female,none,2,real estate,41,bank,Own,2,unskilled,1,None,Yes,1
NA,15,critical account,radio/television,1316,Quite Rich,Professional,2,male,none,2,building society savings agreement/ life insurance,47,none,Own,2,unskilled,1,None,Yes,1
little,18,existing credits paid back duly,radio/television,1882,little,Professional,4,female,none,4,car or other,25,bank,Rent,2,skilled employee,1,None,Yes,2
Moderate,48,all credits paid back duly,business,6416,little,Master,4,female,none,3, unknown / no property,59,none,Rent,1,skilled employee,1,None,Yes,2
Rich,24,critical account,business,1275,Rich,Professional,2,male,none,4,real estate,36,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,24,delay in paying off in the past,radio/television,6403,little,amateur,1,male,none,2,car or other,33,none,Own,1,skilled employee,1,None,Yes,1
little,24,existing credits paid back duly,radio/television,1987,little,Professional,2,male,none,4,real estate,21,none,Rent,1,unskilled,2,None,Yes,2
Moderate,8,existing credits paid back duly,radio/television,760,little,Expert,4,female,guarantor,2,real estate,44,none,Own,1,unskilled,1,None,Yes,1
NA,24,existing credits paid back duly,car (used),2603,Rich,Professional,2,female,none,4,car or other,28,none,Rent,1,skilled employee,1,Yes,Yes,1
NA,4,critical account,car (new),3380,little,Expert,1,female,none,1,real estate,37,none,Own,1,skilled employee,2,None,Yes,1
Moderate,36,all credits paid back duly,domestic appliances,3990,NA,amateur,3,female,none,2, unknown / no property,29,bank,Own,1,unemployed,1,None,Yes,1
Moderate,24,existing credits paid back duly,car (used),11560,little,Professional,1,female,none,4,car or other,23,none,Rent,2,qualified employee,1,None,Yes,2
little,18,existing credits paid back duly,car (new),4380,Moderate,Professional,3,male,none,4,car or other,35,none,Own,1,unskilled,2,Yes,Yes,1
NA,6,critical account,car (new),6761,little,Expert,1,male,none,3, unknown / no property,45,none,Own,2,qualified employee,2,Yes,Yes,1
Moderate,30,no credits taken,business,4280,Moderate,Professional,4,female,none,4,car or other,26,none,Rent,2,unskilled,1,None,Yes,2
little,24,all credits paid back duly,car (new),2325,Moderate,Expert,2,male,none,3,car or other,32,bank,Own,1,skilled employee,1,None,Yes,1
Moderate,10,all credits paid back duly,radio/television,1048,little,Professional,4,male,none,4,real estate,23,stores,Own,1,unskilled,1,None,Yes,1
NA,21,existing credits paid back duly,radio/television,3160,NA,Master,4,male,none,3,building society savings agreement/ life insurance,41,none,Own,1,skilled employee,1,Yes,Yes,1
little,24,all credits paid back duly,furniture/equipment,2483,Quite Rich,Professional,4,male,none,4,real estate,22,stores,Own,1,skilled employee,1,Yes,Yes,1
little,39,critical account,furniture/equipment,14179,NA,Expert,4,male,none,4,building society savings agreement/ life insurance,30,none,Own,2,qualified employee,1,Yes,Yes,1
little,13,critical account,business,1797,little,amateur,3,male,none,1,building society savings agreement/ life insurance,28,bank,Own,2,unskilled,1,None,Yes,1
little,15,existing credits paid back duly,car (new),2511,little,Unemployed,1,female,none,4,car or other,23,none,Rent,1,skilled employee,1,None,Yes,1
little,12,existing credits paid back duly,car (new),1274,little,amateur,3,female,none,1,real estate,37,none,Own,1,unskilled,1,None,Yes,2
NA,21,existing credits paid back duly,car (used),5248,NA,Professional,1,male,none,3,car or other,26,none,Own,1,skilled employee,1,None,Yes,1
NA,15,existing credits paid back duly,car (used),3029,little,Expert,2,male,none,2,car or other,33,none,Own,1,skilled employee,1,None,Yes,1
little,6,existing credits paid back duly,furniture/equipment,428,little,Master,2,female,none,1,building society savings agreement/ life insurance,49,bank,Own,1,skilled employee,1,Yes,Yes,1
little,18,existing credits paid back duly,car (new),976,little,amateur,1,female,none,2,car or other,23,none,Own,1,unskilled,1,None,Yes,2
Moderate,12,existing credits paid back duly,business,841,Moderate,Expert,2,female,none,4,real estate,23,none,Rent,1,unskilled,1,None,Yes,1
NA,30,critical account,radio/television,5771,little,Expert,4,female,none,2,car or other,25,none,Own,2,skilled employee,1,None,Yes,1
NA,12,delay in paying off in the past,repairs,1555,Rich,Master,4,male,none,4, unknown / no property,55,none,For Free,2,skilled employee,2,None,Yes,2
little,24,existing credits paid back duly,car (new),1285,NA,Expert,4,female,none,4, unknown / no property,32,none,Rent,1,skilled employee,1,None,Yes,2
Rich,6,critical account,car (new),1299,little,Professional,1,male,none,1,real estate,74,none,Own,3,unemployed,2,None,No,1
Rich,15,critical account,radio/television,1271,NA,Professional,3,male,none,4, unknown / no property,39,none,For Free,2,skilled employee,1,Yes,Yes,2
NA,24,existing credits paid back duly,car (new),1393,little,Professional,2,male,guarantor,2,real estate,31,none,Own,1,skilled employee,1,Yes,Yes,1
little,12,critical account,car (new),691,little,Master,4,male,none,3,building society savings agreement/ life insurance,35,none,Own,2,skilled employee,1,None,Yes,2
NA,15,critical account,car (new),5045,NA,Master,1,female,none,4,car or other,59,none,Own,1,skilled employee,1,Yes,Yes,1
little,18,critical account,furniture/equipment,2124,little,Professional,4,female,none,4,real estate,24,none,Rent,2,skilled employee,1,None,Yes,2
little,12,existing credits paid back duly,radio/television,2214,little,Professional,4,male,none,3,building society savings agreement/ life insurance,24,none,Own,1,unskilled,1,None,Yes,1
NA,21,critical account,car (new),12680,NA,Master,4,male,none,4, unknown / no property,30,none,For Free,1,qualified employee,1,Yes,Yes,2
NA,24,critical account,car (new),2463,Moderate,Expert,4,male,none,3,building society savings agreement/ life insurance,27,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,radio/television,1155,little,Master,3,male,guarantor,3,real estate,40,bank,Own,2,unskilled,1,None,Yes,1
little,30,existing credits paid back duly,furniture/equipment,3108,little,amateur,2,male,none,4,building society savings agreement/ life insurance,31,none,Own,1,unskilled,1,None,Yes,2
NA,10,existing credits paid back duly,car (used),2901,NA,amateur,1,female,none,4,real estate,31,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,12,critical account,furniture/equipment,3617,little,Master,1,male,none,4,car or other,28,none,Rent,3,skilled employee,1,Yes,Yes,1
NA,12,critical account,radio/television,1655,little,Master,2,male,none,4,real estate,63,none,Own,2,unskilled,1,Yes,Yes,1
little,24,existing credits paid back duly,car (used),2812,NA,Master,2,female,none,4,real estate,26,none,Rent,1,skilled employee,1,None,Yes,1
little,36,critical account,education,8065,little,Professional,3,female,none,2, unknown / no property,25,none,Own,2,qualified employee,1,Yes,Yes,2
NA,21,critical account,car (used),3275,little,Master,1,male,none,4,car or other,36,none,Own,1,qualified employee,1,Yes,Yes,1
NA,24,critical account,radio/television,2223,Moderate,Master,4,male,none,4,building society savings agreement/ life insurance,52,bank,Own,2,skilled employee,1,None,Yes,1
Rich,12,critical account,car (new),1480,Quite Rich,Unemployed,2,male,none,4, unknown / no property,66,bank,For Free,3,unemployed,1,None,Yes,1
little,24,existing credits paid back duly,car (new),1371,NA,Professional,4,female,none,4,real estate,25,none,Rent,1,skilled employee,1,None,Yes,2
NA,36,critical account,car (new),3535,little,Expert,4,male,none,4,car or other,37,none,Own,2,skilled employee,1,Yes,Yes,1
little,18,existing credits paid back duly,radio/television,3509,little,Expert,4,female,guarantor,1,real estate,25,none,Own,1,skilled employee,1,None,Yes,1
NA,36,critical account,car (used),5711,Rich,Master,4,male,none,2,car or other,38,none,Own,2,qualified employee,1,Yes,Yes,1
Moderate,18,existing credits paid back duly,repairs,3872,little,Unemployed,2,female,none,4,car or other,67,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,39,critical account,radio/television,4933,little,Expert,2,male,guarantor,2,real estate,25,none,Own,2,skilled employee,1,None,Yes,2
NA,24,critical account,car (new),1940,Rich,Master,4,male,none,4,real estate,60,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,12,no credits taken,retraining,1410,little,Professional,2,male,none,2,real estate,31,none,Own,1,unskilled,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,car (new),836,Moderate,amateur,4,female,none,2,building society savings agreement/ life insurance,23,bank,Own,1,unskilled,1,None,Yes,2
Moderate,20,existing credits paid back duly,car (used),6468,NA,Unemployed,1,male,none,4,real estate,60,none,Own,1,qualified employee,1,Yes,Yes,1
Moderate,18,existing credits paid back duly,business,1941,Rich,Professional,4,male,none,2,building society savings agreement/ life insurance,35,none,Own,1,unskilled,1,Yes,Yes,1
NA,22,existing credits paid back duly,radio/television,2675,Quite Rich,Master,3,male,none,4,car or other,40,none,Own,1,skilled employee,1,None,Yes,1
NA,48,critical account,car (used),2751,NA,Master,4,male,none,3,car or other,38,none,Own,2,skilled employee,2,Yes,Yes,1
Moderate,48,delay in paying off in the past,education,6224,little,Master,4,male,none,4, unknown / no property,50,none,For Free,1,skilled employee,1,None,Yes,2
little,40,critical account,education,5998,little,Professional,4,male,none,3, unknown / no property,27,bank,Own,1,skilled employee,1,Yes,Yes,2
Moderate,21,existing credits paid back duly,business,1188,little,Master,2,female,none,4,building society savings agreement/ life insurance,39,none,Own,1,skilled employee,2,None,Yes,2
NA,24,existing credits paid back duly,car (used),6313,NA,Master,3,male,none,4,car or other,41,none,Own,1,qualified employee,2,Yes,Yes,1
NA,6,critical account,furniture/equipment,1221,NA,Professional,1,male,none,2,building society savings agreement/ life insurance,27,none,Own,2,skilled employee,1,None,Yes,1
Rich,24,existing credits paid back duly,furniture/equipment,2892,little,Master,3,male,none,4, unknown / no property,51,none,For Free,1,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,furniture/equipment,3062,Quite Rich,Master,4,male,none,3, unknown / no property,32,none,Rent,1,skilled employee,1,Yes,Yes,1
NA,9,existing credits paid back duly,furniture/equipment,2301,Moderate,amateur,2,female,none,4,building society savings agreement/ life insurance,22,none,Rent,1,skilled employee,1,None,Yes,1
little,18,existing credits paid back duly,car (used),7511,NA,Master,1,male,none,4,building society savings agreement/ life insurance,51,none,For Free,1,skilled employee,2,Yes,Yes,2
NA,12,critical account,furniture/equipment,1258,little,amateur,2,female,none,4,building society savings agreement/ life insurance,22,none,Rent,2,unskilled,1,None,Yes,1
NA,24,delay in paying off in the past,car (new),717,NA,Master,4,male,none,4,car or other,54,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,9,existing credits paid back duly,car (new),1549,NA,amateur,4,male,none,2,real estate,35,none,Own,1,unemployed,1,None,Yes,1
NA,24,critical account,education,1597,little,Master,4,male,none,4, unknown / no property,54,none,For Free,2,skilled employee,2,None,Yes,1
Moderate,18,critical account,radio/television,1795,little,Master,3,female,guarantor,4,real estate,48,bank,Rent,2,unskilled,1,Yes,Yes,1
little,20,critical account,furniture/equipment,4272,little,Master,1,female,none,4,building society savings agreement/ life insurance,24,none,Own,2,skilled employee,1,None,Yes,1
NA,12,critical account,radio/television,976,NA,Master,4,male,none,4,car or other,35,none,Own,2,skilled employee,1,None,Yes,1
